Orario,Lunedi,Martedi,Mercoledi,Giovedi,Venerdi,Sabato,Domenica
00:00,4,4,0,5,0,6,7
02:00,1,0,0,0,0,0,0
10:30,0,0,0,0,0,0,19
11:00,0,0,0,0,0,0,2
12:00,0,0,1,0,0,0,0
14:00,0,0,0,0,0,0,1
14:15,1,1,1,1,1,1,1
14:20,0,0,0,0,0,0,1
14:30,0,1,0,0,1,2,25
14:45,1,0,1,0,0,2,5
15:00,10,12,11,10,8,12,56
15:15,8,7,5,3,5,5,87
15:30,37,22,11,18,19,38,368
16:00,10,4,2,12,6,5,43
16:15,0,0,0,1,0,0,1
16:30,3,1,1,6,1,12,12
16:45,0,0,0,0,0,1,0
17:00,7,9,27,16,7,42,5
17:15,2,3,57,6,8,49,2
17:30,2,2,8,3,3,6,4
17:45,0,4,0,2,9,0,1
18:00,5,15,1,11,8,2,6
19:30,28,2,3,0,1,1,0
20:00,6,6,6,8,4,6,5
20:15,0,0,0,0,0,2,1
20:20,0,0,0,1,0,0,0
20:30,5,4,9,8,1,7,3
20:45,10,18,21,29,9,28,23
21:00,133,172,165,170,147,179,129
21:10,9,25,29,33,28,33,14
21:15,473,418,431,401,440,429,342
21:20,33,42,41,36,41,45,35
21:25,0,0,1,1,1,0,0
21:30,133,151,135,128,143,129,127
21:40,0,0,0,1,0,0,0
21:45,9,8,8,7,6,8,8
22:00,49,52,45,56,57,55,45
22:30,25,27,28,34,27,29,26
22:45,2,2,3,3,3,3,2
23:00,6,5,6,5,6,5,6
23:45,1,1,3,0,6,0,0