Luogo,Prezzo,Incidenza
Teatro dal Verme,1000,2
Teatro dal Verme,2500,2
Teatro dal Verme,300,20
Teatro dal Verme,500,20
Teatro dal Verme,1000,20
Teatro dal Verme,1500,20
Teatro Lirico,500,1
Teatro Lirico,700,1
Teatro Lirico,800,1
Teatro Lirico,1200,1
Teatro Lirico,1600,1
Teatro Lirico,5000,1
Teatro Lirico,500,7
Teatro Lirico,2500,7
Teatro Lirico,1000,8
Teatro Lirico,1500,8
Teatro Lirico,300,20
Teatro Lirico,500,20
Teatro Lirico,700,20
Teatro Lirico,1000,20
Teatro Manzoni,200,4
Teatro Manzoni,400,4
Teatro Manzoni,600,4
Teatro Manzoni,1000,4
Teatro Manzoni,400,11
Teatro Manzoni,600,11
Teatro Manzoni,800,11
Teatro Manzoni,1200,11
Teatro Nuovo,600,3
Teatro Nuovo,800,3
Teatro Nuovo,1200,3
Teatro Nuovo,1800,3
Teatro Nuovo,400,50
Teatro Nuovo,500,50
Teatro Nuovo,900,50
Teatro Nuovo,1500,50
Teatro Odeon,400,12
Teatro Odeon,600,12
Teatro Odeon,800,12
Teatro Odeon,1200,12
Teatro Olimpia,300,17
Teatro Olimpia,500,17
Teatro Olimpia,700,17
Teatro Olimpia,1000,17
Teatro Olimpia,1200,14
Teatro Olimpia,500,34
Teatro Olimpia,1500,34
Palazzo dello Sport,500,1
Palazzo dello Sport,1200,1
Palazzo dello Sport,2500,1
Palazzo dello Sport,5000,1
Piccolo Teatro,450,2
Teatro Sant'Erasmo,1300,37
Teatro Sant'Erasmo,2500,37
Teatro Sant'Erasmo,4500,37
Teatro Smeraldo,300,4
Teatro Smeraldo,500,4
Teatro Smeraldo,1000,4
Teatro Smeraldo,600,5
Teatro Smeraldo,700,11
Teatro Smeraldo,400,12
Teatro Smeraldo,500,12
Teatro Smeraldo,500,16
Teatro Smeraldo,1500,16
Teatro Smeraldo,300,20
Teatro Smeraldo,500,20
Teatro Smeraldo,1500,20
Teatro Smeraldo,1000,36
Teatro Smeraldo,400,77
Teatro Smeraldo,600,77
Supercinema Alcione,230,1
Supercinema Alcione,280,1
Supercinema Alcione,350,1
Supercinema Alcione,400,1
Supercinema Alcione,300,7
Supercinema Alcione,250,12
Teatro Puccini,500,9
Teatro Puccini,1000,9
Teatro Puccini,1500,9
Teatro Puccini,2000,9
Teatro Manzoni,10000,1